title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Namo nayatawa birm 2018,kqTWQbLHJaI,213448,2011,83,122,0
Namo Tassa Bagawato Arahato Samma Sam Buddha Sa,wY9ZyjZBCz8,1043224,3914,208,326,0
Nan Wu A Mi Tuo Fo  Yi Xiang Fo Hao  Namo Amitabha Buddha song,OWrIjqD39LM,1654636,3988,341,459,0
Namo Amituofo - Pure Land  (1 Mala - 108 Repetitions),7Ts8UYG8b8g,1188080,4912,163,225,0
Namo - Xozga Lera bayay - New Clip 2017,tkClJQFQlGw,90424,854,14,79,0
namo  paiz 2018 lyric 4k,4EsL96OJ6VA,60394,370,8,14,0
`mr mjbl wrhf jytr - nmw | (Ammar Mjbeel & Rahaf Guitara -  Namo (Official Audio,uHUmBNCBrYQ,18591270,86630,4880,8844,0
Namo - mn u to u chatr u baran 2018,DjIwlHvPxTw,14018,235,5,27,0
[(NamoYu A Fu Xi Lie  Zhi  Er )]  Gong Zuo Kuang ,CU3NHHw-3dM,24777,85,16,10,0
Namo Guan Shi Yin Pusa,C6UpVwsLyoI,1069102,4360,290,329,0
Mantra Music: Ong Namo by Snatam Kaur,c1XCS0g6J4A,9378352,28765,1719,1221,0
Momo x Nayeon momo x na yeon TWICE (Namo/Monayeon)- Let's Not Fall In Love,OArSO_I9_lc,65659,1381,10,68,0
Namo~Xozga Lera Bay~XoshTren Gorani Kurdi Ashqana~New Clip Full HD,t1ZWUYnh3GI,74389,480,20,28,0
Om Gan Ganpataye Namo Namah Ganesh Mantra By Hemant Chauhan [Full Song] I Jai Jai Dev Ganesh,pR0zINRgNHc,13350218,22874,4543,2155,0
Momo and Nayeon - Monayeon/Namo (TWICE teuwaiseu)- A.D.T.O.Y,rg7qB42P7QA,45599,903,3,33,0
Namo Avalokiteshvara - 12-08-2014 EIAB,ntBfYFFlbV8,254403,1480,60,95,0
Namo Namo  Song  | lord shiva lord vishnu  | Daler Mehndi,GeCfDYrCXcs,330968,2802,239,211,0
"Namo Namo | Hu Narendra Modi Banva Mangu Chu | Karan Patel, Onkar Das & Anesha Sayyed | Divya Kumar",JPes7CRRb9w,1461280,9602,542,347,0
Ganesh Mantra - Om Gan Ganapataye Namo Namah | Complete Detail in English,vVf-1eaXgRs,21791241,61821,13813,3807,0
Aa Namo Bahu Nade Chhe (ENG SUBTITLES) - Sanjay Goradia - Gujarati Comedy Natak Full 2017,ynBjO9-fgC0,4099965,9832,1911,706,0
Deva Premal -  Om Namo Bhagavate,aifSjuyeE5M,5821056,24350,917,538,0
"Om Sai Namo Namaha, Shree Sai Namo Namaha - by Suresh Wadkar - Sai Mantra - Sai Baba Songs",q170lKnbfF0,11674743,28384,6175,2443,0
Namo Namo Durge - Jai Ambe (Chalisa)  | Hindi Devotional Song | Pradeep,m2Pd1uAp30U,139836,530,49,31,0
"Namo - Seer Yesu Naathanuku | Beryl Natasha, Clement Vedanayagam | Tamil Christian Song",Jwf1lW5cAoY,449647,2811,116,190,0
Ong Namo Guru Dev Namo | 8 Hours,A7OOSjImPhA,122511,908,45,35,0
"Ram Dass and Nirinjan Kaur Sing ""Namo Namo (Sat Nam)""",mZ9TnekY2YU,807664,3292,132,277,0
Ong Namo - Snatam Kaur,cJcoNDy9HVc,464431,0,0,0,0
GANTASALA ALL TIME HITS - Namo Venkatesa | Venkateswara Songs | Juke Box,z037G1yhAB8,3623552,9537,3665,993,0
Namo Namo - Youth Anthem,AkOI8ByKXZI,10491,99,22,6,0
"""Ong Namo""",FtB6klq3Vbo,352690,2325,69,153,0
[ Must Watch ] - The NaMo Current to Congress !,GeyZJq42trw,27479,521,9,38,0
"Om Namo Venkatesaya Jukebox || Nagarjuna, Anushka Shetty || M.M. Keeravani || Telugu Songs 2017",Xi-yG8okL9c,4777090,10843,2723,1884,0
"Namo - Nambi Vanthaen | Beryl Natasha, Clement Vedanayagam | Tamil Christian Song",jJPwG4vi-Zs,250034,1688,70,126,0
Om Namo Narayanaye Chanting Powerful Mantra | Sahil Jagtiani,x58AAAjBrjc,606170,2267,263,123,0
Om Namo Narayan - Dashavatar | Kamal Haasan | Asin,pr7VnGAzzRw,1352364,8731,552,405,0
Siddhivinayak Namo Namha - Best Classic Devotional Mantra,P0fdLN-shI4,109327,474,53,26,0
Namo Venkatesa Songs - Namo Venkatesa Title Song || Venkatesh || Trisha Krishnan || DSP,M7faU7vmyxA,128874,150,14,15,0
Namo Narayanaya Namo,It6yI34EHzg,226482,722,42,125,0
Jai-Jagdeesh - Ong Namo Guru Dayvaa,JrMY-xH_eSo,182989,787,19,30,0
Ong Namo  Divine Wisdom ~ Mirabai Ceiba,LgJKZUD1OyU,53673,0,0,20,0
Monique - Nenoriu grizt namo,5NVYJzX0zfY,698793,10126,780,439,0
"Namo - Aagamangal Pugaz | Beryl Natasha, Clement Vedanayagam | Tamil Christian Song",Svg6WztF0t4,85727,474,21,42,0
snatam kaur - ong namo,p6xmw70S178,89671,496,22,26,0
No 'Namo-Care' For Middle Class? | The Newshour Debate 1st February 2018,nR5MkDK06TQ,1106,14,7,8,0
ONG NAMO GURU DEV NAMO | 108 Times,DPv7poVriBk,53256,550,10,27,0
GANTASALA || NAMO VENKATESA || VENKATESWARABHAKTHI || TELUGU DEVOTIONAL SONGS || JUKEBOX ||,adiOnuE4IQo,615828,2007,753,199,0
Om Gan Ganpataye Namo Namaha By Suresh Wadkar [Full Song] Ganesh Mantra,On8RhqLwLvw,731629,2180,196,129,0
